AllenCahn - utils.log_helper - INFO - In epoch 1, the energy is 32.2479248046875
AllenCahn - utils.log_helper - INFO - In epoch 2, the energy is 29.878801345825195
AllenCahn - utils.log_helper - INFO - In epoch 3, the energy is 29.07847785949707
AllenCahn - utils.log_helper - INFO - In epoch 4, the energy is 28.669044494628906
AllenCahn - utils.log_helper - INFO - In epoch 5, the energy is 28.43638038635254
AllenCahn - utils.log_helper - INFO - In epoch 6, the energy is 28.300498962402344
AllenCahn - utils.log_helper - INFO - In epoch 7, the energy is 28.21644401550293
AllenCahn - utils.log_helper - INFO - In epoch 8, the energy is 28.162187576293945
AllenCahn - utils.log_helper - INFO - In epoch 9, the energy is 28.123273849487305
AllenCahn - utils.log_helper - INFO - In epoch 10, the energy is 28.096500396728516
AllenCahn - utils.log_helper - INFO - In epoch 11, the energy is 28.077844619750977
AllenCahn - utils.log_helper - INFO - In epoch 12, the energy is 28.064111709594727
AllenCahn - utils.log_helper - INFO - In epoch 13, the energy is 28.0499324798584
AllenCahn - utils.log_helper - INFO - In epoch 14, the energy is 28.041635513305664
AllenCahn - utils.log_helper - INFO - In epoch 15, the energy is 28.035776138305664
AllenCahn - utils.log_helper - INFO - In epoch 16, the energy is 28.031572341918945
AllenCahn - utils.log_helper - INFO - In epoch 17, the energy is 28.028051376342773
AllenCahn - utils.log_helper - INFO - In epoch 18, the energy is 28.025684356689453
AllenCahn - utils.log_helper - INFO - In epoch 19, the energy is 28.02420425415039
AllenCahn - utils.log_helper - INFO - In epoch 20, the energy is 28.022825241088867
AllenCahn - utils.log_helper - INFO - In epoch 21, the energy is 28.02090072631836
AllenCahn - utils.log_helper - INFO - In epoch 22, the energy is 28.020156860351562
AllenCahn - utils.log_helper - INFO - In epoch 23, the energy is 28.019546508789062
AllenCahn - utils.log_helper - INFO - In epoch 24, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 25, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 26, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 27, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 28, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 29, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 30, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 31, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 32, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 33, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 34, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 35, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 36, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 37, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 38, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 39, the energy is 28.01983642578125
AllenCahn - utils.log_helper - INFO - In epoch 40, the energy is 28.01983642578125
