AllenCahn - utils.log_helper - INFO - In epoch 83, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 84, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 85, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 86, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 87, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 88, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 89, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 90, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 91, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 92, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 93, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 94, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 95, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 96, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 97, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 98, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 99, the energy is 28.018014907836914
AllenCahn - utils.log_helper - INFO - In epoch 100, the energy is 28.018014907836914
